MemberID,TotalAttendance,Went,NoShow,DidntGo,WentPct,NoShowPct,DidntGoPct,fit.cluster
110,3.487033471,2.90219301,2.016758955,4.498914163,0.908782138,0.331472426,1.448256183,1
111,1.703019731,1.261415524,3.223621187,-0.222887196,0.769173297,1.624055981,-0.211529613,5
112,0.811012861,0.441026781,2.016758955,-0.222887196,0.559445601,1.852259589,-0.211529613,4
113,0.811012861,-0.379361962,3.223621187,-0.222887196,-0.488564011,2.99259336,-0.211529613,4
114,2.149023166,1.261415524,0.809896723,2.138013484,0.559445601,0.141587865,1.033683223,5
115,-0.080994009,-0.379361962,0.809896723,-0.222887196,-0.488564011,2.99259336,-0.211529613,4
116,-0.526997444,-0.379361962,-0.396965509,-0.222887196,-0.488564011,-0.428750088,-0.211529613,6
117,0.365009426,1.261415524,-0.396965509,-0.222887196,2.655779259,-0.428750088,-0.211529613,3
118,1.257016296,2.081804267,-0.396965509,-0.222887196,1.869693442,-0.428750088,-0.211529613,3
119,-0.526997444,-0.379361962,-0.396965509,-0.222887196,-0.488564011,-0.428750088,-0.211529613,6
120,-0.526997444,-0.379361962,-0.396965509,-0.222887196,-0.488564011,-0.428750088,-0.211529613,6
121,0.811012861,2.081804267,-0.396965509,-0.222887196,2.655779259,-0.428750088,-0.211529613,3
122,2.595026601,1.261415524,2.016758955,2.138013484,0.409774861,0.548727735,0.855902386,5
123,-0.526997444,-0.379361962,-0.396965509,-0.222887196,-0.488564011,-0.428750088,-0.211529613,6
124,0.365009426,1.261415524,-0.396965509,-0.222887196,2.655779259,-0.428750088,-0.211529613,3
125,-0.526997444,-0.379361962,-0.396965509,-0.222887196,-0.488564011,-0.428750088,-0.211529613,6
126,-0.526997444,-0.379361962,-0.396965509,-0.222887196,-0.488564011,-0.428750088,-0.211529613,6
127,3.041030036,2.90219301,4.430483418,-0.222887196,1.083607624,1.281921636,-0.211529613,5
128,0.365009426,1.261415524,-0.396965509,-0.222887196,2.655779259,-0.428750088,-0.211529613,3
129,-0.526997444,-0.379361962,-0.396965509,-0.222887196,-0.488564011,-0.428750088,-0.211529613,6
130,-0.526997444,-0.379361962,-0.396965509,-0.222887196,-0.488564011,-0.428750088,-0.211529613,6
131,-0.080994009,-0.379361962,0.809896723,-0.222887196,-0.488564011,2.99259336,-0.211529613,4
132,-0.526997444,-0.379361962,-0.396965509,-0.222887196,-0.488564011,-0.428750088,-0.211529613,6
133,-0.080994009,0.441026781,-0.396965509,-0.222887196,2.655779259,-0.428750088,-0.211529613,3
134,2.595026601,4.542970497,-0.396965509,2.138013484,2.206452606,-0.428750088,0.855902386,1
135,-0.526997444,-0.379361962,-0.396965509,-0.222887196,-0.488564011,-0.428750088,-0.211529613,6
136,-0.526997444,-0.379361962,-0.396965509,-0.222887196,-0.488564011,-0.428750088,-0.211529613,6
137,-0.526997444,-0.379361962,-0.396965509,-0.222887196,-0.488564011,-0.428750088,-0.211529613,6
138,-0.526997444,-0.379361962,-0.396965509,-0.222887196,-0.488564011,-0.428750088,-0.211529613,6
139,0.811012861,0.441026781,0.809896723,-0.222887196,0.559445601,0.711583683,-0.211529613,4
140,6.163054082,4.542970497,-0.396965509,4.498914163,0.769173297,-0.428750088,0.784192469,1
141,-0.080994009,-0.379361962,-0.396965509,2.138013484,-0.488564011,-0.428750088,7.258253446,2
142,-0.080994009,-0.379361962,0.809896723,-0.222887196,-0.488564011,2.99259336,-0.211529613,4
143,5.271047212,7.004136726,-0.396965509,6.859814842,1.688264835,-0.428750088,1.512496317,1
144,1.703019731,2.081804267,0.809896723,-0.222887196,1.398041951,0.255518602,-0.211529613,3
